timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1596214440235,125,GET,200,OK,Test 1-1,text,true,,28409,202,1,2,122,0,102
1596214440360,145,POST,201,Created,Test 1-1,text,true,,1079,320,1,1,145,0,0
1596214440506,140,PUT,200,OK,Test 1-1,text,true,,881,265,1,1,140,0,0
1596214440646,145,DELETE,200,OK,Test 1-1,text,true,,869,214,2,3,145,0,0
1596214440737,71,GET,200,OK,Test 1-2,text,true,,28417,202,2,4,65,0,49
1596214440792,28,GET,200,OK,Test 1-1,text,true,,28409,202,2,3,25,0,0
1596214440820,143,POST,201,Created,Test 1-1,text,true,,1079,320,2,2,143,0,0
1596214440808,261,POST,201,Created,Test 1-2,text,true,,1079,320,2,4,261,0,0
1596214440963,138,PUT,200,OK,Test 1-1,text,true,,881,265,2,3,138,0,0
1596214441070,142,PUT,200,OK,Test 1-2,text,true,,881,265,2,3,142,0,0
1596214441101,139,DELETE,200,OK,Test 1-1,text,true,,869,214,3,4,139,0,0
1596214441240,33,GET,200,OK,Test 1-1,text,true,,28409,202,3,4,30,0,0
1596214441239,74,GET,200,OK,Test 1-3,text,true,,28409,202,3,4,71,0,52
1596214441212,143,DELETE,200,OK,Test 1-2,text,true,,869,214,3,5,143,0,0
1596214441355,23,GET,200,OK,Test 1-2,text,true,,28417,202,3,4,19,0,0
1596214441273,143,POST,201,Created,Test 1-1,text,true,,1079,320,3,4,143,0,0
1596214441313,140,POST,201,Created,Test 1-3,text,true,,1079,320,3,5,139,0,0
1596214441378,146,POST,201,Created,Test 1-2,text,true,,1079,320,3,5,146,0,0
1596214441416,138,PUT,200,OK,Test 1-1,text,true,,881,265,3,4,138,0,0
1596214441453,139,PUT,200,OK,Test 1-3,text,true,,881,265,3,4,139,0,0
1596214441525,147,PUT,200,OK,Test 1-2,text,true,,881,265,3,4,147,0,0
1596214441555,145,DELETE,200,OK,Test 1-1,text,true,,869,214,3,4,145,0,0
1596214441700,31,GET,200,OK,Test 1-1,text,true,,28409,202,3,3,29,0,0
1596214441593,140,DELETE,503,Service Unavailable,Test 1-3,text,false,,1076,214,3,4,140,0,0
1596214441745,21,GET,200,OK,Test 1-3,text,true,,28409,202,4,4,18,0,0
1596214441672,139,DELETE,200,OK,Test 1-2,text,true,,869,214,4,4,139,0,0
1596214441735,77,GET,200,OK,Test 1-4,text,true,,28417,202,4,5,75,0,59
1596214441811,26,GET,200,OK,Test 1-2,text,true,,28409,202,4,5,22,0,0
1596214441731,148,POST,201,Created,Test 1-1,text,true,,1079,320,4,5,148,0,0
1596214441767,142,POST,201,Created,Test 1-3,text,true,,1079,320,4,5,142,0,0
1596214441837,161,POST,201,Created,Test 1-2,text,true,,1079,320,4,4,161,0,0
1596214441812,190,POST,201,Created,Test 1-4,text,true,,1079,320,4,5,190,0,0
1596214441879,153,PUT,200,OK,Test 1-1,text,true,,881,265,4,4,153,0,0
1596214441909,174,PUT,200,OK,Test 1-3,text,true,,881,265,4,5,174,0,0
1596214441998,137,PUT,200,OK,Test 1-2,text,true,,881,265,4,5,137,0,0
1596214442002,156,PUT,200,OK,Test 1-4,text,true,,881,265,4,5,156,0,0
1596214442032,150,DELETE,200,OK,Test 1-1,text,true,,869,214,4,5,150,0,0
1596214442182,24,GET,200,OK,Test 1-1,text,true,,28409,202,4,5,22,0,0
1596214442083,149,DELETE,200,OK,Test 1-3,text,true,,869,214,4,5,149,0,0
1596214442232,24,GET,200,OK,Test 1-3,text,true,,28409,202,5,5,21,0,0
1596214442136,144,DELETE,200,OK,Test 1-2,text,true,,869,214,5,6,144,0,0
1596214442280,20,GET,200,OK,Test 1-2,text,true,,28409,202,5,5,17,0,0
1596214442240,74,GET,200,OK,Test 1-5,text,true,,28409,202,5,6,70,0,51
1596214442206,141,POST,201,Created,Test 1-1,text,true,,1079,320,5,6,141,0,0
1596214442158,274,DELETE,200,OK,Test 1-4,text,true,,869,214,5,6,274,0,0
1596214442300,146,POST,201,Created,Test 1-2,text,true,,1079,320,5,5,146,0,0
1596214442432,23,GET,200,OK,Test 1-4,text,true,,28409,202,5,7,22,0,0
